"id";"uri";"nomParlamentar";"cargo";"siglaUf";"municipio";"anoInicio";"anoFim";"siglaPartidoEleicao";"uriPartidoEleicao"
"73911";"https://dadosabertos.camara.leg.br/api/v2/deputados/73911";"PAULO RITZEL";"Deputado(a) Estadual";"RS";"";"1987";"1989";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"73911";"https://dadosabertos.camara.leg.br/api/v2/deputados/73911";"PAULO RITZEL";"Prefeito(a)";"RS";"";"1989";"1992";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"74083";"https://dadosabertos.camara.leg.br/api/v2/deputados/74083";"PAULO TITAN";"Prefeito(a)";"PA";"";"1983";"1988";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"74083";"https://dadosabertos.camara.leg.br/api/v2/deputados/74083";"PAULO TITAN";"Prefeito(a)";"PA";"";"1997";"2000";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"73418";"https://dadosabertos.camara.leg.br/api/v2/deputados/73418";"NOEL DE OLIVEIRA";"Vereador(a)";"RJ";"";"1954";"1958";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845"
"73418";"https://dadosabertos.camara.leg.br/api/v2/deputados/73418";"NOEL DE OLIVEIRA";"Vereador(a)";"RJ";"";"1958";"1962";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845"
"73418";"https://dadosabertos.camara.leg.br/api/v2/deputados/73418";"NOEL DE OLIVEIRA";"Deputado(a) Estadual";"RJ";"";"1977";"1979";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899"
"73418";"https://dadosabertos.camara.leg.br/api/v2/deputados/73418";"NOEL DE OLIVEIRA";"Prefeito(a)";"RJ";"";"1983";"1988";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"74068";"https://dadosabertos.camara.leg.br/api/v2/deputados/74068";"RAQUEL CAPIBERIBE";"Prefeito(a)";"AP";"";"1986";"";"";""
"74068";"https://dadosabertos.camara.leg.br/api/v2/deputados/74068";"RAQUEL CAPIBERIBE";"Vice-Prefeito(a)";"AP";"";"1986";"";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"74757";"https://dadosabertos.camara.leg.br/api/v2/deputados/74757";"RAUL BELÉM";"Deputado(a) Estadual";"MG";"";"1967";"1969";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899"
"73988";"https://dadosabertos.camara.leg.br/api/v2/deputados/73988";"RENAN KURTZ";"Vereador(a)";"RS";"";"1964";"1968";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845"
"73988";"https://dadosabertos.camara.leg.br/api/v2/deputados/73988";"RENAN KURTZ";"Deputado(a) Estadual";"RS";"";"1983";"1987";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786"
"73988";"https://dadosabertos.camara.leg.br/api/v2/deputados/73988";"RENAN KURTZ";"Deputado(a) Estadual";"RS";"";"1987";"1991";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786"
"73988";"https://dadosabertos.camara.leg.br/api/v2/deputados/73988";"RENAN KURTZ";"Deputado(a) Estadual";"RS";"";"1991";"1995";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786"
"74432";"https://dadosabertos.camara.leg.br/api/v2/deputados/74432";"ROBERTO FONTES";"Deputado(a) Estadual";"PE";"";"1987";"1991";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"74432";"https://dadosabertos.camara.leg.br/api/v2/deputados/74432";"ROBERTO FONTES";"Vice-Governador(a)";"PE";"";"1991";"1994";"PRN";"https://dadosabertos.camara.leg.br/api/v2/partidos/36822"
"73649";"https://dadosabertos.camara.leg.br/api/v2/deputados/73649";"ROBERTO FRANÇA";"Vereador(a)";"MT";"";"1971";"1975";"ARENA";"https://dadosabertos.camara.leg.br/api/v2/partidos/36768"
"73649";"https://dadosabertos.camara.leg.br/api/v2/deputados/73649";"ROBERTO FRANÇA";"Vereador(a)";"MT";"";"1975";"1979";"ARENA";"https://dadosabertos.camara.leg.br/api/v2/partidos/36768"
"73649";"https://dadosabertos.camara.leg.br/api/v2/deputados/73649";"ROBERTO FRANÇA";"Deputado(a) Estadual";"MT";"";"1981";"1982";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"73649";"https://dadosabertos.camara.leg.br/api/v2/deputados/73649";"ROBERTO FRANÇA";"Deputado(a) Estadual";"MT";"";"1983";"1987";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"73649";"https://dadosabertos.camara.leg.br/api/v2/deputados/73649";"ROBERTO FRANÇA";"Deputado(a) Estadual";"MT";"";"1987";"1991";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"73649";"https://dadosabertos.camara.leg.br/api/v2/deputados/73649";"ROBERTO FRANÇA";"Deputado(a) Estadual";"MT";"";"1991";"1995";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845"
"73649";"https://dadosabertos.camara.leg.br/api/v2/deputados/73649";"ROBERTO FRANÇA";"Prefeito(a)";"MT";"";"1997";"2000";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835"
"74639";"https://dadosabertos.camara.leg.br/api/v2/deputados/74639";"ROBERTO SANTOS";"Governador(a)";"BA";"";"1975";"1979";"ARENA";"https://dadosabertos.camara.leg.br/api/v2/partidos/36768"
"73650";"https://dadosabertos.camara.leg.br/api/v2/deputados/73650";"RODRIGUES PALMA";"Prefeito(a)";"MT";"";"1975";"1979";"ARENA";"https://dadosabertos.camara.leg.br/api/v2/partidos/36768"
"73650";"https://dadosabertos.camara.leg.br/api/v2/deputados/73650";"RODRIGUES PALMA";"Deputado(a) Estadual";"MT";"";"1983";"1987";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"73675";"https://dadosabertos.camara.leg.br/api/v2/deputados/73675";"RUBENS COSAC";"Deputado(a) Estadual";"GO";"";"1987";"1991";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"73675";"https://dadosabertos.camara.leg.br/api/v2/deputados/73675";"RUBENS COSAC";"Deputado(a) Estadual";"GO";"";"1991";"1995";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"74761";"https://dadosabertos.camara.leg.br/api/v2/deputados/74761";"SANDRA STARLING";"Deputado(a) Estadual";"MG";"";"1987";"1991";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844"
"74178";"https://dadosabertos.camara.leg.br/api/v2/deputados/74178";"SILVERNANI SANTOS";"Deputado(a) Estadual";"RO";"";"1983";"1987";"PDS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36785"
"74178";"https://dadosabertos.camara.leg.br/api/v2/deputados/74178";"SILVERNANI SANTOS";"Deputado(a) Estadual";"RO";"";"1987";"1991";"PFL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36790"
"74178";"https://dadosabertos.camara.leg.br/api/v2/deputados/74178";"SILVERNANI SANTOS";"Deputado(a) Estadual";"RO";"";"1991";"1995";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845"
"74178";"https://dadosabertos.camara.leg.br/api/v2/deputados/74178";"SILVERNANI SANTOS";"Governador(a)";"RO";"";"1992";"";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845"
"74766";"https://dadosabertos.camara.leg.br/api/v2/deputados/74766";"SÍLVIO ABREU";"Vereador(a)";"MG";"";"1973";"1975";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899"
"74827";"https://dadosabertos.camara.leg.br/api/v2/deputados/74827";"THEODORICO FERRAÇO";"Deputado(a) Estadual";"ES";"";"1967";"1971";"ARENA";"https://dadosabertos.camara.leg.br/api/v2/partidos/36768"
"74827";"https://dadosabertos.camara.leg.br/api/v2/deputados/74827";"THEODORICO FERRAÇO";"Deputado(a) Estadual";"ES";"";"1971";"1973";"ARENA";"https://dadosabertos.camara.leg.br/api/v2/partidos/36768"
"74827";"https://dadosabertos.camara.leg.br/api/v2/deputados/74827";"THEODORICO FERRAÇO";"Prefeito(a)";"ES";"";"1973";"1977";"ARENA";"https://dadosabertos.camara.leg.br/api/v2/partidos/36768"
"74827";"https://dadosabertos.camara.leg.br/api/v2/deputados/74827";"THEODORICO FERRAÇO";"Prefeito(a)";"ES";"";"1989";"1993";"PFL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36790"
"74827";"https://dadosabertos.camara.leg.br/api/v2/deputados/74827";"THEODORICO FERRAÇO";"Prefeito(a)";"ES";"";"1997";"2000";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845"
"73562";"https://dadosabertos.camara.leg.br/api/v2/deputados/73562";"TUGA ANGERAMI";"Prefeito(a)";"SP";"";"1983";"1988";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800"
"74643";"https://dadosabertos.camara.leg.br/api/v2/deputados/74643";"UBALDINO JÚNIOR";"Deputado(a) Estadual";"BA";"";"1991";"1995";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832"
"74643";"https://dadosabertos.camara.leg.br/api/v2/deputados/74643";"UBALDINO JÚNIOR";"Prefeito(a)";"BA";"";"1997";"2000";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832"
"74086";"https://dadosabertos.camara.leg.br/api/v2/deputados/74086";"UBALDO CORRÊA";"Prefeito(a)";"PA";"";"1959";"1963";"UDN";"https://dadosabertos.camara.leg.br/api/v2/partidos/36854"
